=== TABLE: ai_code_hashes ===
hash      source    fileExtension  fileName                                                         requestId  conversationId                        timestamp      createdAt    
--------  --------  -------------  ---------------------------------------------------------------  ---------  ------------------------------------  -------------  -------------
fe7fd9f   composer  yml            /c:/masm64-framework/.github/workflows/build.yml                            36c42e2b-9a84-4196-aae0-7001c138d639  1768353263903  1768353263903
7b38c9b0  composer  yml            /c:/masm64-framework/.github/workflows/build.yml                            36c42e2b-9a84-4196-aae0-7001c138d639  1768353263903  1768353263903
f1275dc3  composer  yml            /c:/masm64-framework/.github/workflows/build.yml                            36c42e2b-9a84-4196-aae0-7001c138d639  1768353263903  1768353263903
6a3ba9fc  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
2d83c7ec  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
2c2cdde3  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
8d25403a  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
121f3aaa  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
bc3b6104  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
565a2d68  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
17ddf504  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
a572ace   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
6e56117f  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
bd075931  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
a3f4afb1  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
bd0b1002  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
6497213f  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
497abf8   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
988643c2  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
8d2553af  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
dddaa50   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
294fc216  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
da636822  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
a637524d  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
9956ab9f  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
1f08e7d3  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
56165d63  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7eb2675a  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
c5f317ca  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
473b9ea   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
568a1ae   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
9ccc8802  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7924762d  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
82e7ea5b  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
a17df448  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
561c4c92  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7bc3de20  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
23025c0f  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
26be4328  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
270386d4  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
b94ce3b5  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
e284ba16  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
1fed54a   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
d0cb8884  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
34ecf824  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
34c0a5e8  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
4ca2d4b9  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
508a21db  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
daa86756  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
15f1410e  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
ca266c5e  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
1532ea85  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
4dd2df0e  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
f0bacdd0  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
359f1331  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
39b1842c  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7677f4af  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
e0b709d4  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
fc9759b   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
9a2a6686  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
89c95eaa  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
c5ad7c1a  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
c4ace8c7  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
8c413f00  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
92c8495   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
71876659  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
23836d7f  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
d27ffa0   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
5cb65024  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
2d32094c  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
14b60480  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
9937b2be  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7e464544  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
111234a8  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
a02fbd43  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
e783d3cf  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
fa761d73  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
63489789  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
7eb8c2c3  composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
a235464   composer  yml            /c:/masm64-framework/.github/workflows/release.yml                          36c42e2b-9a84-4196-aae0-7001c138d639  1768353264207  1768353264208
